Time(ps) 	 Total Energy 
 20.200 	 -4585.1049
 20.400 	 -4573.5326
 20.600 	 -4548.1223
 20.800 	 -4525.3410
 21.000 	 -4542.8995
 21.200 	 -4550.9376
 21.400 	 -4543.8652
 21.600 	 -4570.4109
 21.800 	 -4550.4225
 22.000 	 -4585.2078
 22.200 	 -4577.3788
 22.400 	 -4583.5594
 22.600 	 -4605.5086
 22.800 	 -4615.4200
 23.000 	 -4583.6069
 23.200 	 -4534.2492
 23.400 	 -4571.4911
 23.600 	 -4580.2937
 23.800 	 -4555.4327
 24.000 	 -4567.5687
 24.200 	 -4566.0038
 24.400 	 -4547.9737
 24.600 	 -4603.6717
 24.800 	 -4611.0889
 25.000 	 -4694.2189
 25.200 	 -4678.6558
 25.400 	 -4679.2889
 25.600 	 -4650.4214
 25.800 	 -4637.4849
 26.000 	 -4677.2461
 26.200 	 -4659.6974
 26.400 	 -4592.8300
 26.600 	 -4622.1237
 26.800 	 -4626.0868
 27.000 	 -4614.5996
 27.200 	 -4625.5348
 27.400 	 -4569.7752
 27.600 	 -4625.0792
 27.800 	 -4653.4614
 28.000 	 -4637.6852
 28.200 	 -4643.8673
 28.400 	 -4619.5255
 28.600 	 -4663.3843
 28.800 	 -4631.8386
 29.000 	 -4680.3524
 29.200 	 -4722.1579
 29.400 	 -4696.5022
 29.600 	 -4729.6126
 29.800 	 -4703.1835
 30.000 	 -4707.8668
 30.200 	 -4660.0768
 30.400 	 -4673.0967
 30.600 	 -4656.3795
 30.800 	 -4627.9210
 31.000 	 -4599.7806
 31.200 	 -4648.8831
 31.400 	 -4649.4773
 31.600 	 -4665.3345
 31.800 	 -4693.9727
 32.000 	 -4726.4832
 32.200 	 -4744.9909
 32.400 	 -4788.9469
 32.600 	 -4724.8673
 32.800 	 -4724.9143
 33.000 	 -4685.3320
 33.200 	 -4721.0018
 33.400 	 -4755.1232
 33.600 	 -4810.7441
 33.800 	 -4796.7949
 34.000 	 -4737.2496
 34.200 	 -4735.1629
 34.400 	 -4733.8855
 34.600 	 -4781.2227
 34.800 	 -4789.1473
 35.000 	 -4813.7562
 35.200 	 -4817.4775
 35.400 	 -4822.1009
 35.600 	 -4788.4856
 35.800 	 -4816.5778
 36.000 	 -4843.6187
 36.200 	 -4867.3389
 36.400 	 -4829.6258
 36.600 	 -4839.4063
 36.800 	 -4856.7404
 37.000 	 -4827.9999
 37.200 	 -4789.4960
 37.400 	 -4807.4737
 37.600 	 -4822.8427
 37.800 	 -4841.7963
 38.000 	 -4852.5445
 38.200 	 -4794.1774
 38.400 	 -4795.4408
 38.600 	 -4843.1092
 38.800 	 -4861.5219
 39.000 	 -4861.1394
 39.200 	 -4874.9262
 39.400 	 -4895.8931
 39.600 	 -4925.8895
 39.800 	 -4973.8736
 40.000 	 -4988.7908
 40.200 	 -4945.5981
 40.400 	 -4916.3219
 40.600 	 -4921.4063
 40.800 	 -4911.1395
 41.000 	 -4874.5853
 41.200 	 -4874.5310
 41.400 	 -4881.8810
 41.600 	 -4891.6363
 41.800 	 -4896.9142
 42.000 	 -4912.6121
 42.200 	 -4904.3068
 42.400 	 -4929.8410
 42.600 	 -4953.1665
 42.800 	 -4984.0176
 43.000 	 -4980.7061
 43.200 	 -4938.8474
 43.400 	 -4963.1656
 43.600 	 -4955.5246
 43.800 	 -4906.5723
 44.000 	 -4930.7026
 44.200 	 -4928.7367
 44.400 	 -4857.1610
 44.600 	 -4886.8174
 44.800 	 -4817.6888
 45.000 	 -4872.9481
 45.200 	 -4894.4047
 45.400 	 -4885.6957
 45.600 	 -4923.2417
 45.800 	 -4897.3522
 46.000 	 -4892.6689
 46.200 	 -4893.3622
 46.400 	 -4838.7241
 46.600 	 -4836.7701
 46.800 	 -4760.9359
 47.000 	 -4784.3831
 47.200 	 -4744.1472
 47.400 	 -4728.4061
 47.600 	 -4750.2233
 47.800 	 -4867.9914
 48.000 	 -4923.5577
 48.200 	 -4897.1107
 48.400 	 -4911.9463
 48.600 	 -4915.2124
 48.800 	 -4877.7660
 49.000 	 -4853.0504
 49.200 	 -4857.4078
 49.400 	 -4825.9871
 49.600 	 -4812.0551
 49.800 	 -4846.6835
 50.000 	 -4846.4495
 50.200 	 -4878.3125
 50.400 	 -4932.9309
 50.600 	 -4942.1183
 50.800 	 -4939.3920
 51.000 	 -4911.1468
 51.200 	 -4917.1998
 51.400 	 -4925.0586
 51.600 	 -4901.7294
 51.800 	 -4904.7184
 52.000 	 -4881.9266
 52.200 	 -4853.0225
 52.400 	 -4887.5130
 52.600 	 -4842.1109
 52.800 	 -4846.9808
 53.000 	 -4862.7402
 53.200 	 -4851.7519
 53.400 	 -4909.4545
 53.600 	 -4914.8171
 53.800 	 -4915.2172
 54.000 	 -4930.1387
 54.200 	 -4953.7774
 54.400 	 -4901.9891
 54.600 	 -4905.8510
 54.800 	 -4926.3257
 55.000 	 -4917.3863
 55.200 	 -4942.2224
 55.400 	 -4952.2746
 55.600 	 -4916.1854
 55.800 	 -4861.9952
 56.000 	 -4877.2959
 56.200 	 -4826.5819
 56.400 	 -4876.5468
 56.600 	 -4846.8424
 56.800 	 -4843.3569
 57.000 	 -4842.7350
 57.200 	 -4834.5641
 57.400 	 -4793.4512
 57.600 	 -4854.0441
 57.800 	 -4874.9529
 58.000 	 -4835.5704
 58.200 	 -4855.0431
 58.400 	 -4865.4151
 58.600 	 -4846.5908
 58.800 	 -4807.5877
 59.000 	 -4811.5955
 59.200 	 -4835.6643
 59.400 	 -4846.6731
 59.600 	 -4851.4884
 59.800 	 -4886.9112
 60.000 	 -4858.1232
 60.200 	 -4869.2450
 60.400 	 -4907.4877
 60.600 	 -4954.8636
 60.800 	 -4942.2690
 61.000 	 -5004.3931
 61.200 	 -4980.6333
 61.400 	 -4959.0934
 61.600 	 -4942.9824
 61.800 	 -4882.6145
 62.000 	 -4857.1325
 62.200 	 -4916.5311
 62.400 	 -4894.3503
 62.600 	 -4912.1722
 62.800 	 -4912.5805
 63.000 	 -4939.9299
 63.200 	 -4923.4478
 63.400 	 -4885.8822
 63.600 	 -4879.1104
 63.800 	 -4871.2521
 64.000 	 -4846.9889
 64.200 	 -4870.2887
 64.400 	 -4814.2051
 64.600 	 -4782.7933
 64.800 	 -4827.9125
 65.000 	 -4849.4257
 65.200 	 -4896.8849
 65.400 	 -4898.4300
 65.600 	 -4887.3311
 65.800 	 -4920.3260
 66.000 	 -4929.5851
 66.200 	 -4961.0590
 66.400 	 -4904.5845
 66.600 	 -4913.8577
 66.800 	 -4893.3502
 67.000 	 -4872.0999
 67.200 	 -4799.1635
 67.400 	 -4844.1789
 67.600 	 -4857.2238
 67.800 	 -4852.7959
 68.000 	 -4937.0545
 68.200 	 -4932.0827
 68.400 	 -4903.7197
 68.600 	 -4917.5152
 68.800 	 -4917.0623
 69.000 	 -4929.6231
 69.200 	 -4911.2961
 69.400 	 -4900.8126
 69.600 	 -4872.0052
 69.800 	 -4894.1473
 70.000 	 -4926.5634
 70.200 	 -4936.8213
 70.400 	 -4873.3118
 70.600 	 -4926.9161
 70.800 	 -4915.6954
 71.000 	 -4905.3008
 71.200 	 -4890.1921
 71.400 	 -4882.1300
 71.600 	 -4916.5499
 71.800 	 -4886.9469
 72.000 	 -4850.5461
 72.200 	 -4859.8111
 72.400 	 -4846.7970
 72.600 	 -4842.1241
 72.800 	 -4858.2108
 73.000 	 -4826.8505
 73.200 	 -4795.8374
 73.400 	 -4811.9221
 73.600 	 -4888.6634
 73.800 	 -4909.6700
 74.000 	 -4933.4484
 74.200 	 -4977.5063
 74.400 	 -4992.3263
 74.600 	 -4977.7844
 74.800 	 -4966.7665
 75.000 	 -4972.1345
 75.200 	 -4947.9832
 75.400 	 -4974.7886
 75.600 	 -4973.9220
 75.800 	 -4942.2304
 76.000 	 -4943.4810
 76.200 	 -4932.4172
 76.400 	 -4962.9499
 76.600 	 -4951.6520
 76.800 	 -4942.7002
 77.000 	 -4982.3862
 77.200 	 -4983.9897
 77.400 	 -4983.2188
 77.600 	 -4997.9833
 77.800 	 -5056.4832
 78.000 	 -5022.3178
 78.200 	 -4990.2883
 78.400 	 -4955.9855
 78.600 	 -4922.5797
 78.800 	 -4918.2425
 79.000 	 -4901.2145
 79.200 	 -4864.5383
 79.400 	 -4869.5219
 79.600 	 -4922.5511
 79.800 	 -4917.4126
 80.000 	 -4928.8228
